<<<<<<< HEAD
InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,Month,Day,Year,Hour,Revenue,Discount,ProductCategory,Region,Weekday,ReturnFlag,OrderType,PaymentMode,CalculatedRevenue
100023,9339,Keyboard,5,1592,87403,India,1,1,2025,23,9680,5,Accessories,West,Wednesday,0,Store,Cash,7955
100024,8033,Laptop,1,2462,72985,Germany,1,2,2025,0,11139,15,Electronics,North,Thursday,0,Online,Cash,2447
100025,6794,Mouse,1,4091,42648,Usa,1,2,2025,1,16977,0,Accessories,North,Thursday,0,Store,Card,4091
100026,4621,Phone,1,1132,75394,Usa,1,2,2025,2,817,5,Accessories,West,Thursday,0,Online,Card,1127
100027,8404,Monitor,2,3952,55340,India,1,2,2025,3,2465,10,Electronics,West,Thursday,1,Online,Card,7894
100028,5908,Monitor,4,4547,30138,Uk,1,2,2025,4,9755,5,Accessories,North,Thursday,0,Store,Card,18183
100029,4990,Laptop,9,2233,11942,India,1,2,2025,5,11831,10,Accessories,East,Thursday,0,Store,Cash,20087
100030,5053,Laptop,9,4810,10359,India,1,2,2025,6,4002,15,Accessories,East,Thursday,0,Online,Upi,43275
100031,3044,Mouse,1,4478,30175,Uk,1,2,2025,7,12300,10,Accessories,West,Thursday,0,Online,Upi,4468
100032,1829,Phone,9,4006,83716,Germany,1,2,2025,8,977,10,Electronics,North,Thursday,0,Online,Card,36044
100033,5990,Keyboard,6,1963,51728,Uk,1,2,2025,9,5297,10,Electronics,South,Thursday,0,Store,Card,11768
100034,8990,Monitor,5,1573,50657,India,1,2,2025,10,9467,15,Electronics,East,Thursday,1,Store,Card,7850
100035,1574,Keyboard,8,4335,45906,India,1,2,2025,11,1467,15,Electronics,West,Thursday,0,Store,Cash,34665
100036,8723,Keyboard,5,2263,33037,Uk,1,2,2025,12,12855,0,Accessories,West,Thursday,0,Online,Card,11315
100037,8447,Monitor,3,254,74318,India,1,2,2025,13,10936,15,Accessories,South,Thursday,0,Store,Upi,747
100038,3490,Phone,5,3614,11148,India,1,2,2025,14,11523,0,Electronics,South,Thursday,0,Online,Upi,18070
100039,6684,Keyboard,7,1801,65068,Usa,1,2,2025,15,10516,15,Electronics,North,Thursday,0,Store,Upi,12592
100040,2486,Keyboard,7,4684,94321,Uk,1,2,2025,16,13982,5,Accessories,South,Thursday,0,Online,Upi,32783
100041,7822,Phone,2,4289,89224,Usa,1,2,2025,17,13245,10,Electronics,West,Thursday,1,Online,Upi,8568
100042,7304,Mouse,9,611,43237,Uk,1,2,2025,18,13371,10,Electronics,North,Thursday,0,Online,Cash,5489
100043,4190,Phone,3,4516,86928,Germany,1,2,2025,19,4652,5,Accessories,West,Thursday,0,Store,Cash,13543
100044,1611,Keyboard,8,4753,31386,Uk,1,2,2025,20,13901,15,Electronics,South,Thursday,0,Store,Cash,38009
100045,9735,Phone,3,3806,31709,Usa,1,2,2025,21,4003,10,Electronics,North,Thursday,0,Store,Cash,11408
100046,5010,Keyboard,1,1449,40913,Uk,1,2,2025,22,917,5,Electronics,East,Thursday,0,Online,Upi,1444
100047,9037,Monitor,9,3382,11587,Germany,1,2,2025,23,19569,5,Electronics,South,Thursday,0,Online,Card,30433
100048,7100,Mouse,6,4353,33904,Usa,1,3,2025,0,3984,5,Accessories,East,Friday,0,Store,Cash,26113
100049,8004,Monitor,2,4095,86901,Uk,1,3,2025,1,2716,0,Electronics,West,Friday,0,Store,Cash,8190
100050,7838,Mouse,1,2212,78613,Usa,1,3,2025,2,6411,15,Electronics,North,Friday,0,Online,Upi,2197
100051,2751,Monitor,2,3567,39620,Uk,1,3,2025,3,19988,15,Electronics,East,Friday,0,Online,Upi,7119
100052,4274,Monitor,2,1990,38119,Germany,1,3,2025,4,17352,15,Accessories,South,Friday,0,Online,Cash,3965
100053,5200,Keyboard,9,1345,41239,Usa,1,3,2025,5,14539,15,Accessories,South,Friday,0,Online,Card,12090
100054,5479,Keyboard,2,3396,20706,Uk,1,3,2025,6,4167,10,Electronics,South,Friday,0,Online,Cash,6782
100055,1394,Mouse,2,2384,24255,Usa,1,3,2025,7,12771,15,Electronics,North,Friday,0,Online,Card,4753
100056,5918,Monitor,8,1201,99344,Usa,1,3,2025,8,16740,15,Accessories,East,Friday,0,Store,Upi,9593
100057,2388,Keyboard,8,3337,72369,Germany,1,3,2025,9,7125,0,Accessories,South,Friday,0,Store,Upi,26696
100058,7689,Keyboard,2,1676,70978,India,1,3,2025,10,5554,5,Accessories,West,Friday,0,Store,Upi,3347
100059,7146,Laptop,6,2980,35209,India,1,3,2025,11,17422,0,Accessories,South,Friday,0,Online,Card,17880
100060,9301,Laptop,5,1870,87035,Uk,1,3,2025,12,3063,10,Accessories,East,Friday,0,Online,Cash,9340
100061,7702,Laptop,6,4436,25906,Usa,1,3,2025,13,18246,0,Electronics,East,Friday,0,Store,Card,26616
100062,4299,Phone,3,4267,97180,Usa,1,3,2025,14,9841,15,Accessories,North,Friday,0,Online,Card,12786
100063,9706,Phone,7,2421,55304,India,1,3,2025,15,14576,15,Electronics,South,Friday,0,Online,Cash,16932
100064,4697,Laptop,8,3581,39772,India,1,3,2025,16,7754,5,Accessories,East,Friday,0,Store,Cash,28643
100065,3932,Laptop,7,972,77536,Uk,1,3,2025,17,14342,10,Accessories,East,Friday,0,Online,Cash,6794
100066,9148,Monitor,9,4987,47548,Germany,1,3,2025,18,18536,15,Accessories,North,Friday,0,Store,Upi,44868
100067,4333,Keyboard,1,1151,34263,Germany,1,3,2025,19,10116,15,Accessories,North,Friday,0,Store,Upi,1136
100068,1687,Mouse,6,4348,71525,India,1,3,2025,20,4637,5,Accessories,West,Friday,0,Store,Cash,26083
100069,5225,Monitor,9,4245,74982,India,1,3,2025,21,2017,15,Accessories,West,Friday,0,Online,Upi,38190
100070,8160,Mouse,5,973,64293,Uk,1,3,2025,22,18550,0,Accessories,South,Friday,0,Store,Cash,4865
100071,2705,Laptop,9,142,51577,Uk,1,3,2025,23,19981,0,Electronics,North,Friday,0,Online,Cash,1278
100072,5166,Mouse,4,3711,39591,Usa,1,4,2025,0,13196,5,Accessories,South,Saturday,0,Store,Card,14839
100073,2169,Phone,9,4358,46339,Germany,1,4,2025,1,803,5,Electronics,East,Saturday,0,Online,Cash,39217
100074,7177,Monitor,9,3610,88692,Uk,1,4,2025,2,17755,10,Electronics,East,Saturday,0,Store,Card,32480
100075,5280,Laptop,6,372,42356,Usa,1,4,2025,3,10160,15,Electronics,West,Saturday,1,Online,Card,2217
100076,3971,Keyboard,7,3262,97046,Germany,1,4,2025,4,5059,0,Electronics,East,Saturday,0,Store,Upi,22834
100077,3041,Phone,5,2019,23102,India,1,4,2025,5,7659,5,Electronics,West,Saturday,0,Store,Card,10090
100078,6079,Phone,3,4586,24644,Usa,1,4,2025,6,18866,15,Electronics,North,Saturday,0,Online,Cash,13743
100079,7027,Monitor,5,4020,39936,India,1,4,2025,7,15634,10,Accessories,North,Saturday,0,Online,Cash,20090
100080,9461,Laptop,9,4014,10267,Germany,1,4,2025,8,12141,5,Accessories,South,Saturday,0,Online,Card,36121
100081,4933,Mouse,1,2097,89131,India,1,4,2025,9,14847,5,Electronics,West,Saturday,0,Store,Upi,2092
100082,2446,Mouse,2,1678,40635,Uk,1,4,2025,10,17029,10,Electronics,West,Saturday,0,Store,Cash,3346
100083,8493,Laptop,5,4129,19194,Germany,1,4,2025,11,12746,10,Electronics,North,Saturday,0,Online,Upi,20635
100084,6667,Laptop,4,664,65668,Germany,1,4,2025,12,6618,15,Accessories,North,Saturday,0,Store,Upi,2641
100085,7301,Mouse,6,591,96246,Uk,1,4,2025,13,1957,15,Electronics,North,Saturday,0,Store,Card,3531
100086,1874,Keyboard,4,404,99435,Germany,1,4,2025,14,2901,15,Accessories,West,Saturday,1,Online,Cash,1601
100087,3810,Mouse,6,2606,19674,Germany,1,4,2025,15,5118,0,Electronics,West,Saturday,0,Online,Upi,15636
100088,7909,Keyboard,1,469,81359,Germany,1,4,2025,16,15487,5,Accessories,West,Saturday,0,Store,Upi,464
100089,8489,Mouse,3,2954,42582,India,1,4,2025,17,2336,5,Electronics,North,Saturday,0,Online,Cash,8857
100090,4916,Laptop,7,919,85259,Usa,1,4,2025,18,2978,10,Accessories,East,Saturday,0,Online,Upi,6423
100091,8242,Phone,5,4465,64566,Usa,1,4,2025,19,19590,15,Electronics,South,Saturday,0,Store,Upi,22310
100092,8574,Keyboard,7,2218,75855,Uk,1,4,2025,20,8307,5,Electronics,West,Saturday,1,Store,Upi,15521
100093,4486,Mouse,6,558,85404,India,1,4,2025,21,2991,5,Accessories,West,Saturday,0,Online,Cash,3343
100094,9081,Phone,3,3498,90581,Germany,1,4,2025,22,17513,15,Electronics,West,Saturday,0,Store,Upi,10479
100095,3594,Phone,4,1759,22922,Germany,1,4,2025,23,19360,10,Electronics,North,Saturday,0,Online,Cash,7026
100096,3155,Phone,9,1382,75143,India,1,5,2025,0,10330,5,Electronics,South,Sunday,0,Store,Upi,12433
100097,7141,Laptop,9,3330,22699,Usa,1,5,2025,1,2697,15,Accessories,West,Sunday,0,Store,Upi,29955
100098,6730,Monitor,1,4782,94952,Germany,1,5,2025,2,12737,5,Electronics,East,Sunday,0,Store,Upi,4777
100099,2257,Phone,7,4901,66553,Uk,1,5,2025,3,17313,0,Accessories,East,Sunday,0,Store,Upi,34307
100100,8493,Phone,5,2233,27338,Uk,1,5,2025,4,19326,0,Accessories,North,Sunday,0,Store,Upi,11165
100101,2798,Mouse,1,4256,36346,Germany,1,5,2025,5,11705,0,Electronics,South,Sunday,0,Online,Upi,4256
100102,8243,Phone,6,1125,90611,Germany,1,5,2025,6,18912,15,Electronics,West,Sunday,0,Online,Cash,6735
100103,1066,Keyboard,1,4247,68004,Usa,1,5,2025,7,16718,0,Electronics,South,Sunday,0,Store,Card,4247
100104,8170,Keyboard,3,4715,30633,Usa,1,5,2025,8,3646,15,Accessories,West,Sunday,0,Store,Cash,14130
100105,8081,Keyboard,7,2634,83851,Uk,1,5,2025,9,12863,0,Accessories,South,Sunday,0,Store,Upi,18438
100106,8022,Monitor,8,2662,74647,Uk,1,5,2025,10,13481,0,Accessories,West,Sunday,0,Online,Cash,21296
100107,6982,Laptop,4,2865,16918,India,1,5,2025,11,15492,5,Accessories,West,Sunday,0,Store,Cash,11455
100108,5243,Keyboard,8,457,35494,India,1,5,2025,12,10861,0,Accessories,East,Sunday,0,Online,Card,3656
100109,7345,Phone,8,4307,86003,India,1,5,2025,13,14750,0,Electronics,West,Sunday,0,Store,Cash,34456
100110,3493,Keyboard,5,3714,41574,Usa,1,5,2025,14,11894,15,Accessories,North,Sunday,0,Online,Card,18555
100111,8025,Mouse,2,4361,13382,Usa,1,5,2025,15,5573,5,Electronics,South,Sunday,0,Online,Upi,8717
100112,6000,Laptop,6,665,64349,India,1,5,2025,16,9939,5,Electronics,North,Sunday,0,Store,Cash,3985
100113,5129,Keyboard,1,4031,90893,Germany,1,5,2025,17,18733,15,Accessories,East,Sunday,1,Store,Upi,4016
100114,5549,Monitor,9,1877,60078,Germany,1,5,2025,18,16932,15,Accessories,South,Sunday,0,Store,Card,16878
100115,6118,Keyboard,4,4110,97804,Usa,1,5,2025,19,13051,5,Electronics,East,Sunday,1,Online,Upi,16435
100116,1335,Phone,7,4970,20270,Germany,1,5,2025,20,6777,5,Accessories,West,Sunday,0,Online,Upi,34785
100117,2258,Monitor,7,4410,70070,India,1,5,2025,21,4440,5,Accessories,East,Sunday,0,Online,Cash,30865
100118,3209,Keyboard,5,4586,68475,Uk,1,5,2025,22,6068,5,Accessories,East,Sunday,0,Online,Cash,22925
100119,2030,Laptop,9,657,98581,India,1,5,2025,23,6467,0,Electronics,North,Sunday,0,Online,Cash,5913
100120,4956,Keyboard,8,1710,56902,Uk,1,6,2025,0,19252,15,Electronics,East,Monday,0,Online,Cash,13665
100121,7014,Laptop,8,1533,83978,Usa,1,6,2025,1,10894,10,Electronics,South,Monday,0,Online,Card,12254
100122,6889,Monitor,1,2617,23086,India,1,6,2025,2,8121,10,Electronics,West,Monday,0,Online,Cash,2607
100123,5239,Laptop,5,4882,13992,Usa,1,6,2025,3,17695,5,Accessories,South,Monday,1,Online,Card,24405
100124,8694,Phone,9,3460,74482,Uk,1,6,2025,4,7694,10,Accessories,East,Monday,0,Store,Card,31130
100125,6086,Mouse,8,2769,10342,India,1,6,2025,5,16036,0,Accessories,East,Monday,0,Online,Card,22152
100126,1712,Keyboard,5,4044,88734,India,1,6,2025,6,13008,0,Accessories,South,Monday,1,Store,Upi,20220
100127,7884,Laptop,1,964,11871,India,1,6,2025,7,6389,15,Electronics,North,Monday,0,Store,Cash,949
100128,6170,Mouse,3,3336,71966,Usa,1,6,2025,8,19235,0,Electronics,South,Monday,1,Store,Cash,10008
100129,6711,Phone,6,2564,50671,Uk,1,6,2025,9,13925,15,Accessories,East,Monday,1,Store,Cash,15369
100130,6087,Mouse,6,1095,68090,Germany,1,6,2025,10,19797,5,Electronics,West,Monday,0,Store,Cash,6565
100131,5981,Keyboard,9,3264,66103,Uk,1,6,2025,11,532,10,Electronics,West,Monday,0,Online,Upi,29366
100132,1815,Phone,1,4218,49985,Germany,1,6,2025,12,5975,10,Electronics,South,Monday,0,Store,Cash,4208
100133,6032,Monitor,4,4158,53331,Germany,1,6,2025,13,6986,10,Electronics,North,Monday,0,Store,Cash,16622
100134,8153,Laptop,3,4231,55302,Uk,1,6,2025,14,13648,15,Accessories,North,Monday,0,Store,Card,12678
100135,3735,Mouse,9,4079,70941,India,1,6,2025,15,16872,5,Electronics,East,Monday,0,Store,Upi,36706
100136,6424,Mouse,2,2397,73923,Usa,1,6,2025,16,2869,15,Electronics,South,Monday,0,Store,Card,4779
100137,1277,Mouse,2,341,50463,Usa,1,6,2025,17,3448,5,Electronics,North,Monday,0,Online,Upi,677
100138,4127,Mouse,3,4830,41724,Usa,1,6,2025,18,13660,15,Accessories,North,Monday,0,Online,Cash,14475
100139,4930,Keyboard,1,2322,13830,India,1,6,2025,19,7391,5,Electronics,East,Monday,0,Online,Cash,2317
100140,9843,Mouse,6,3200,80128,Germany,1,6,2025,20,14124,15,Accessories,South,Monday,0,Online,Card,19185
100141,2931,Mouse,5,200,30354,Germany,1,6,2025,21,520,15,Accessories,North,Monday,0,Store,Card,985
100142,3488,Keyboard,6,4454,49077,Uk,1,6,2025,22,10705,10,Accessories,South,Monday,0,Online,Upi,26714
100143,4676,Mouse,9,4451,99335,Germany,1,6,2025,23,951,15,Electronics,West,Monday,0,Store,Upi,40044
100144,9932,Mouse,4,4648,80632,Germany,1,7,2025,0,19051,10,Electronics,West,Tuesday,0,Store,Upi,18582
100145,8679,Keyboard,3,952,41127,India,1,7,2025,1,3347,10,Accessories,South,Tuesday,0,Online,Upi,2846
100146,1312,Phone,4,4230,52742,Uk,1,7,2025,2,3969,5,Accessories,West,Tuesday,0,Store,Card,16915
100147,3105,Keyboard,8,3161,39228,Uk,1,7,2025,3,2486,5,Electronics,West,Tuesday,1,Online,Upi,25283
100148,8394,Keyboard,5,815,66355,Uk,1,7,2025,4,4798,0,Electronics,South,Tuesday,0,Online,Card,4075
100149,1524,Phone,2,2896,23751,Germany,1,7,2025,5,10049,10,Electronics,North,Tuesday,0,Store,Upi,5782
100150,8700,Monitor,7,2434,95736,Usa,1,7,2025,6,12542,10,Electronics,North,Tuesday,0,Store,Cash,17028
100151,3532,Mouse,7,3165,98841,Uk,1,7,2025,7,18050,10,Accessories,West,Tuesday,0,Store,Cash,22145
100152,9257,Mouse,3,509,36869,India,1,7,2025,8,17617,10,Electronics,North,Tuesday,0,Store,Upi,1517
100153,3642,Keyboard,6,2860,30741,Germany,1,7,2025,9,2150,0,Electronics,South,Tuesday,0,Store,Cash,17160
100154,4908,Keyboard,6,3419,58531,Uk,1,7,2025,10,8840,15,Electronics,West,Tuesday,0,Online,Cash,20499
100155,6956,Laptop,2,3606,68213,India,1,7,2025,11,17461,5,Accessories,North,Tuesday,0,Store,Card,7207
100156,2136,Laptop,1,3868,67924,Germany,1,7,2025,12,3726,10,Accessories,South,Tuesday,0,Store,Card,3858
100157,6012,Mouse,7,3167,13784,Usa,1,7,2025,13,13529,0,Electronics,West,Tuesday,1,Online,Cash,22169
100158,5544,Phone,6,3536,73991,Germany,1,7,2025,14,8822,10,Accessories,West,Tuesday,0,Online,Card,21206
100159,8054,Monitor,7,542,15982,Uk,1,7,2025,15,3793,5,Electronics,South,Tuesday,0,Store,Upi,3789
100160,9963,Phone,4,4009,40777,Uk,1,7,2025,16,1703,15,Electronics,North,Tuesday,0,Online,Upi,16021
100161,6978,Laptop,5,1897,74506,Germany,1,7,2025,17,6149,15,Accessories,East,Tuesday,1,Online,Upi,9470
100162,4682,Keyboard,9,2783,89836,Usa,1,7,2025,18,517,15,Electronics,South,Tuesday,0,Online,Cash,25032
100163,4657,Keyboard,3,2778,67164,India,1,7,2025,19,4286,5,Accessories,East,Tuesday,0,Store,Card,8329
100164,4761,Keyboard,6,4882,24375,Germany,1,7,2025,20,11196,10,Electronics,East,Tuesday,0,Online,Cash,29282
100165,8325,Keyboard,2,1693,71213,Uk,1,7,2025,21,15891,10,Electronics,South,Tuesday,0,Online,Card,3376
100166,3890,Mouse,1,1983,13333,India,1,7,2025,22,10354,5,Accessories,South,Tuesday,0,Store,Card,1978
100167,2502,Laptop,9,3825,30787,Usa,1,7,2025,23,14639,5,Electronics,North,Tuesday,0,Store,Upi,34420
100168,4008,Phone,2,3208,21136,India,1,8,2025,0,1944,10,Electronics,East,Wednesday,0,Online,Upi,6406
100169,1204,Phone,6,1657,98639,Uk,1,8,2025,1,6435,0,Electronics,West,Wednesday,0,Store,Card,9942
100170,1955,Laptop,5,1787,43152,Uk,1,8,2025,2,13344,5,Accessories,West,Wednesday,0,Online,Cash,8930
100171,1810,Keyboard,8,4160,60253,Usa,1,8,2025,3,1559,10,Electronics,East,Wednesday,0,Online,Card,33270
100172,7943,Keyboard,5,4195,81152,India,1,8,2025,4,11886,15,Electronics,East,Wednesday,0,Store,Card,20960
100173,7500,Monitor,7,818,97258,India,1,8,2025,5,3790,10,Accessories,West,Wednesday,0,Store,Upi,5716
100174,7270,Phone,9,2059,99593,Uk,1,8,2025,6,8679,10,Electronics,North,Wednesday,0,Online,Cash,18521
100175,5156,Keyboard,8,3870,24775,Usa,1,8,2025,7,12782,15,Accessories,West,Wednesday,0,Store,Card,30945
100176,7452,Monitor,7,681,45453,Usa,1,8,2025,8,19735,0,Electronics,North,Wednesday,0,Online,Cash,4767
100177,2451,Phone,2,998,46458,India,1,8,2025,9,2262,10,Electronics,West,Wednesday,1,Store,Cash,1986
100178,9104,Phone,2,876,81659,Germany,1,8,2025,10,11233,10,Accessories,North,Wednesday,1,Store,Cash,1742
100179,5508,Mouse,5,2687,40211,Germany,1,8,2025,11,10961,15,Electronics,East,Wednesday,0,Online,Cash,13420
100180,9441,Phone,6,2309,30814,Usa,1,8,2025,12,1739,10,Electronics,North,Wednesday,0,Store,Card,13844
100181,2370,Keyboard,7,1670,77955,Uk,1,8,2025,13,12452,0,Electronics,North,Wednesday,0,Online,Cash,11690
100182,5475,Laptop,8,766,54560,Germany,1,8,2025,14,1972,0,Electronics,East,Wednesday,0,Store,Card,6128
100183,7266,Monitor,1,3222,77280,India,1,8,2025,15,13911,10,Electronics,West,Wednesday,0,Online,Upi,3212
100184,5460,Phone,2,4055,44191,Uk,1,8,2025,16,4549,5,Accessories,North,Wednesday,0,Store,Cash,8105
100185,5014,Mouse,2,1142,53788,Germany,1,8,2025,17,2944,5,Accessories,West,Wednesday,0,Online,Upi,2279
100186,2495,Keyboard,5,3365,10821,India,1,8,2025,18,1897,5,Electronics,West,Wednesday,0,Store,Upi,16820
100187,4428,Mouse,6,3997,11453,India,1,8,2025,19,9464,10,Electronics,East,Wednesday,0,Store,Card,23972
100188,3148,Laptop,2,2829,10031,Uk,1,8,2025,20,5102,5,Accessories,South,Wednesday,0,Store,Cash,5653
100189,3713,Phone,8,2910,25768,Uk,1,8,2025,21,9536,10,Accessories,West,Wednesday,0,Store,Card,23270
100190,7152,Laptop,3,917,41286,Germany,1,8,2025,22,17966,5,Electronics,East,Wednesday,0,Store,Card,2746
100191,6671,Keyboard,6,4790,14523,Usa,1,8,2025,23,16788,0,Accessories,North,Wednesday,0,Store,Cash,28740
100192,6464,Laptop,7,4786,24467,Uk,1,9,2025,0,15134,10,Electronics,West,Thursday,0,Store,Card,33492
100193,4255,Monitor,1,3587,86230,Uk,1,9,2025,1,9639,10,Accessories,South,Thursday,1,Store,Cash,3577
100194,9636,Phone,8,4523,86910,India,1,9,2025,2,2688,0,Accessories,South,Thursday,0,Online,Card,36184
100195,1788,Monitor,9,3076,36079,Germany,1,9,2025,3,8432,10,Electronics,North,Thursday,0,Online,Card,27674
100196,4082,Monitor,9,3339,95181,Usa,1,9,2025,4,925,0,Accessories,South,Thursday,0,Online,Card,30051
100197,2061,Phone,2,4162,20612,Germany,1,9,2025,5,2907,5,Electronics,East,Thursday,0,Online,Cash,8319
100198,4050,Phone,4,286,12825,Uk,1,9,2025,6,6383,0,Accessories,West,Thursday,0,Online,Card,1144
100199,9656,Phone,3,1176,41875,Usa,1,9,2025,7,14042,10,Accessories,South,Thursday,0,Store,Card,3518
100200,4296,Mouse,5,1096,33825,Uk,1,9,2025,8,15873,15,Accessories,East,Thursday,0,Store,Cash,5465
100201,9176,Keyboard,9,3200,16955,Uk,1,9,2025,9,12585,15,Accessories,North,Thursday,0,Online,Card,28785
100202,5455,Phone,7,1287,86269,India,1,9,2025,10,5527,0,Electronics,North,Thursday,0,Store,Upi,9009
100203,7296,Mouse,7,2012,98096,Germany,1,9,2025,11,14480,0,Accessories,East,Thursday,0,Store,Cash,14084
100204,5116,Monitor,4,2519,34334,India,1,9,2025,12,19931,15,Accessories,North,Thursday,0,Online,Upi,10061
100205,3392,Laptop,9,3744,38350,India,1,9,2025,13,13297,10,Electronics,South,Thursday,0,Online,Card,33686
100206,7877,Phone,9,2635,74653,Uk,1,9,2025,14,15351,5,Accessories,North,Thursday,0,Online,Upi,23710
100207,9721,Monitor,8,219,93975,India,1,9,2025,15,17568,15,Electronics,South,Thursday,0,Online,Upi,1737
100208,3371,Monitor,8,3464,35816,Germany,1,9,2025,16,14454,0,Electronics,South,Thursday,0,Online,Card,27712
100209,8007,Phone,6,2195,71444,Germany,1,9,2025,17,17608,0,Electronics,South,Thursday,1,Online,Upi,13170
100210,3349,Mouse,1,655,12082,Germany,1,9,2025,18,6274,5,Accessories,South,Thursday,0,Store,Card,650
100211,7451,Keyboard,3,3293,60949,Uk,1,9,2025,19,6499,5,Electronics,North,Thursday,1,Online,Upi,9874
100212,8100,Phone,7,1424,98843,Germany,1,9,2025,20,3902,0,Accessories,West,Thursday,0,Store,Upi,9968
100213,5043,Laptop,3,2357,52794,Usa,1,9,2025,21,4057,10,Accessories,South,Thursday,0,Store,Card,7061
100214,7631,Phone,2,4840,67737,Germany,1,9,2025,22,11279,5,Electronics,West,Thursday,0,Store,Card,9675
100215,3449,Mouse,9,1266,71863,Usa,1,9,2025,23,18566,10,Accessories,North,Thursday,0,Store,Cash,11384
100216,1713,Keyboard,5,4437,66905,Usa,1,10,2025,0,4822,10,Electronics,North,Friday,0,Online,Cash,22175
100217,1867,Keyboard,8,2375,71764,Germany,1,10,2025,1,14404,15,Accessories,South,Friday,0,Online,Upi,18985
100218,5022,Monitor,3,4669,89803,Usa,1,10,2025,2,2016,15,Electronics,North,Friday,0,Store,Card,13992
100219,9122,Phone,4,4263,10946,Germany,1,10,2025,3,19434,10,Accessories,South,Friday,0,Store,Cash,17042
100220,2148,Mouse,4,4178,89613,Usa,1,10,2025,4,10754,5,Electronics,West,Friday,0,Store,Upi,16707
100221,5101,Laptop,4,1113,91699,Usa,1,10,2025,5,10190,10,Accessories,West,Friday,0,Online,Card,4442
100222,7335,Keyboard,4,3975,91360,Germany,1,10,2025,6,7516,5,Accessories,South,Friday,0,Online,Cash,15895
100223,2821,Monitor,3,1899,43116,Germany,1,10,2025,7,19263,5,Accessories,North,Friday,0,Store,Card,5692
100224,7493,Monitor,8,4559,62469,Usa,1,10,2025,8,8682,5,Accessories,South,Friday,0,Store,Cash,36467
100225,3753,Monitor,3,4952,41794,Uk,1,10,2025,9,2893,0,Electronics,South,Friday,0,Store,Upi,14856
100226,8277,Mouse,4,3097,85627,Uk,1,10,2025,10,11496,0,Accessories,North,Friday,0,Store,Upi,12388
100227,6212,Phone,8,4572,46592,Uk,1,10,2025,11,12012,10,Accessories,West,Friday,0,Online,Upi,36566
100228,5921,Laptop,4,2713,38170,India,1,10,2025,12,15047,0,Electronics,East,Friday,0,Store,Card,10852
