 total_orders | total_units_sold | gross_revenue | total_discounts_given | net_revenue  | average_order_value_aov 
--------------+------------------+---------------+-----------------------+--------------+-------------------------
        10000 |            50271 |  101822804.00 |              75980.00 | 101746824.00 |                10182.28
(1 row)

  category   |   brand   | total_orders | units_sold | total_revenue | revenue_percentage 
-------------+-----------+--------------+------------+---------------+--------------------
 Accessories | Brand_ACC |         5105 |      25616 |   51813150.00 |              50.89
 Electronics | Brand_ELE |         4895 |      24655 |   50009654.00 |              49.11
(2 rows)

 country | region | active_customers | total_orders | units_sold | total_revenue 
---------+--------+------------------+--------------+------------+---------------
 Germany | South  |              623 |          657 |       3413 |    6666003.00
 Germany | West   |              625 |          656 |       3267 |    6625885.00
 Usa     | North  |              590 |          618 |       3073 |    6612813.00
 Germany | North  |              610 |          640 |       3257 |    6516923.00
 India   | East   |              605 |          630 |       3089 |    6505353.00
 Uk      | South  |              586 |          617 |       3159 |    6465115.00
 Uk      | North  |              589 |          623 |       3087 |    6449412.00
 Uk      | East   |              600 |          637 |       3286 |    6442846.00
 Uk      | West   |              595 |          629 |       3196 |    6383324.00
 India   | North  |              602 |          642 |       3360 |    6368616.00
 Usa     | West   |              595 |          627 |       3108 |    6337896.00
 India   | South  |              591 |          627 |       3105 |    6325158.00
 Germany | East   |              575 |          615 |       3068 |    6244310.00
 Usa     | South  |              565 |          595 |       2945 |    6177372.00
 Usa     | East   |              578 |          614 |       3014 |    6175084.00
 India   | West   |              541 |          573 |       2844 |    5526694.00
(16 rows)

 cohort  | cohort_size | retention_period_month | active_customer_count | retention_rate_percentage 
 2025-06 |         684 |                      3 |                     2 |                      0.29
 2025-06 |         684 |                      4 |                     6 |                      0.88
 2025-06 |         684 |                      5 |                     6 |                      0.88
 2025-06 |         684 |                      6 |                     8 |                      1.17
 2025-06 |         684 |                      7 |                     5 |                      0.73
 2025-06 |         684 |                      8 |                     1 |                      0.15
 2025-07 |         706 |                      0 |                   706 |                    100.00
 2025-07 |         706 |                      1 |                     6 |                      0.85
 2025-07 |         706 |                      2 |                     6 |                      0.85
 2025-07 |         706 |                      3 |                     6 |                      0.85
 2025-07 |         706 |                      4 |                     5 |                      0.71
 2025-07 |         706 |                      5 |                    10 |                      1.42
 2025-07 |         706 |                      6 |                     4 |                      0.57
 2025-07 |         706 |                      7 |                     5 |                      0.71
 2025-08 |         707 |                      0 |                   707 |                    100.00
 2025-08 |         707 |                      1 |                     8 |                      1.13
 2025-08 |         707 |                      2 |                     2 |                      0.28
 2025-08 |         707 |                      3 |                     4 |                      0.57
 2025-08 |         707 |                      4 |                     9 |                      1.27
 2025-08 |         707 |                      5 |                     4 |                      0.57
 2025-08 |         707 |                      6 |                     3 |                      0.42
 2025-09 |         676 |                      0 |                   676 |                    100.00
 2025-09 |         676 |                      1 |                     3 |                      0.44
 2025-09 |         676 |                      2 |                     6 |                      0.89
 2025-09 |         676 |                      3 |                     2 |                      0.30
 2025-09 |         676 |                      4 |                     6 |                      0.89
 2025-09 |         676 |                      5 |                     4 |                      0.59
 2025-10 |         703 |                      0 |                   703 |                    100.00
 2025-10 |         703 |                      1 |                     6 |                      0.85
 2025-10 |         703 |                      2 |                    10 |                      1.42
 2025-10 |         703 |                      3 |                     6 |                      0.85
 2025-10 |         703 |                      4 |                     2 |                      0.28
 2025-11 |         658 |                      0 |                   658 |                    100.00
 2025-11 |         658 |                      1 |                    12 |                      1.82
 2025-11 |         658 |                      2 |                     5 |                      0.76
 2025-11 |         658 |                      3 |                     3 |                      0.46
 2025-12 |         660 |                      0 |                   660 |                    100.00
 2025-12 |         660 |                      1 |                     5 |                      0.76
 2025-12 |         660 |                      2 |                     3 |                      0.45
 2026-01 |         671 |                      0 |                   671 |                    100.00
 2026-01 |         671 |                      1 |                     5 |                      0.75
 2026-02 |         451 |                      0 |                   451 |                    100.00
(105 rows)

 shipping_carrier | shipping_service_level | warehouse_location | total_shipments | avg_delivery_delay_days | max_delivery_delay_days 
------------------+------------------------+--------------------+-----------------+-------------------------+-------------------------
 Blue Dart        | Express                | WH_Mumbai          |            2452 |      1.2149265905383361 |                       4
 UPS              | Standard               | WH_Frankfurt       |            7548 |      1.2498675145733969 |                       4
(2 rows)

 payment_method |  card_provider   | transaction_count | transaction_revenue | avg_transaction_value 
----------------+------------------+-------------------+---------------------+-----------------------
 Card           | Visa             |              3354 |         34140222.00 |              10178.96
 Upi            | PhonePe          |              3326 |         33946741.00 |              10206.48
 Cash           | Cash_On_Delivery |              3320 |         33735841.00 |              10161.40
(3 rows)

